persona_id,sex,race,religion,political_views,political_party
synth_0000,Male,White,Nothing in particular,Moderate,Democrat
synth_0001,Male,Black,Nothing in particular,Very conservative,Republican
synth_0002,Female,White,Protestant,Very conservative,Democrat
synth_0003,Male,Other,Agnostic,Very conservative,Democrat
synth_0004,Female,Black,Hindu,Very liberal,Independent
synth_0005,Male,Black,Nothing in particular,Liberal,Independent
synth_0006,Female,Black,Orthodox,Moderate,Republican
synth_0007,Male,Hispanic,Roman Catholic,Moderate,Independent
synth_0008,Female,White,Nothing in particular,Liberal,Republican
synth_0009,Female,White,Atheist,Moderate,Independent
synth_0010,Male,White,Protestant,Conservative,Independent
synth_0011,Male,Black,Roman Catholic,Liberal,Independent
synth_0012,Female,Asian,Mormon,Moderate,Independent
synth_0013,Male,Asian,Nothing in particular,Very conservative,Democrat
synth_0014,Male,Black,Hindu,Liberal,Independent
synth_0015,Male,Asian,Protestant,Conservative,Republican
synth_0016,Female,Hispanic,Jewish,Very conservative,Democrat
synth_0017,Female,Black,Other,Liberal,Something else
synth_0018,Female,Black,Jewish,Conservative,Democrat
synth_0019,Female,Other,Buddhist,Very liberal,Something else
synth_0020,Female,Black,Mormon,Very liberal,Something else
synth_0021,Male,White,Roman Catholic,Conservative,Democrat
synth_0022,Female,Other,Roman Catholic,Liberal,Something else
synth_0023,Female,Other,Jewish,Very liberal,Republican
synth_0024,Male,Other,Jewish,Moderate,Republican
synth_0025,Female,Hispanic,Mormon,Liberal,Republican
synth_0026,Female,Other,Mormon,Very liberal,Republican
synth_0027,Female,Other,Agnostic,Conservative,Democrat
synth_0028,Female,Black,Atheist,Very liberal,Republican
synth_0029,Female,Hispanic,Protestant,Very conservative,Independent
synth_0030,Female,Black,Protestant,Conservative,Republican
synth_0031,Male,Hispanic,Roman Catholic,Very liberal,Democrat
synth_0032,Male,Hispanic,Atheist,Conservative,Independent
synth_0033,Female,Black,Atheist,Conservative,Independent
synth_0034,Female,Asian,Hindu,Very liberal,Something else
synth_0035,Male,Black,Orthodox,Very conservative,Independent
synth_0036,Male,Other,Atheist,Conservative,Democrat
synth_0037,Male,White,Nothing in particular,Very conservative,Democrat
synth_0038,Male,White,Muslim,Very conservative,Democrat
synth_0039,Female,Hispanic,Orthodox,Very liberal,Democrat
synth_0040,Female,Black,Hindu,Liberal,Democrat
synth_0041,Male,White,Other,Liberal,Independent
synth_0042,Female,Hispanic,Hindu,Very conservative,Republican
synth_0043,Male,Hispanic,Nothing in particular,Moderate,Republican
synth_0044,Male,Black,Orthodox,Very liberal,Something else
synth_0045,Male,Hispanic,Mormon,Moderate,Something else
synth_0046,Male,White,Hindu,Very liberal,Republican
synth_0047,Male,Other,Protestant,Very conservative,Democrat
synth_0048,Male,Hispanic,Hindu,Liberal,Democrat
synth_0049,Female,White,Mormon,Liberal,Republican
synth_0050,Female,Asian,Hindu,Moderate,Something else
synth_0051,Female,Black,Orthodox,Moderate,Democrat
synth_0052,Male,Other,Nothing in particular,Very liberal,Republican
synth_0053,Female,White,Protestant,Very liberal,Something else
synth_0054,Male,White,Atheist,Very conservative,Democrat
synth_0055,Male,Other,Roman Catholic,Conservative,Something else
synth_0056,Male,Other,Orthodox,Very liberal,Republican
synth_0057,Male,Hispanic,Other,Very liberal,Independent
synth_0058,Female,Black,Other,Moderate,Democrat
synth_0059,Female,Hispanic,Mormon,Moderate,Something else
synth_0060,Female,White,Protestant,Liberal,Republican
synth_0061,Male,Other,Orthodox,Very liberal,Independent
synth_0062,Male,Asian,Roman Catholic,Conservative,Independent
synth_0063,Female,Black,Hindu,Very liberal,Independent
synth_0064,Male,Other,Jewish,Very conservative,Democrat
synth_0065,Female,White,Roman Catholic,Very liberal,Democrat
synth_0066,Female,Asian,Agnostic,Conservative,Independent
synth_0067,Male,Asian,Atheist,Liberal,Independent
synth_0068,Male,White,Other,Liberal,Independent
synth_0069,Male,White,Muslim,Conservative,Independent
synth_0070,Male,Hispanic,Atheist,Liberal,Republican
synth_0071,Male,White,Nothing in particular,Conservative,Republican
synth_0072,Female,Other,Atheist,Conservative,Something else
synth_0073,Male,White,Jewish,Moderate,Republican
synth_0074,Female,Black,Other,Conservative,Republican
synth_0075,Female,Other,Buddhist,Very liberal,Democrat
synth_0076,Male,Black,Mormon,Liberal,Republican
synth_0077,Male,Asian,Buddhist,Conservative,Independent
synth_0078,Male,White,Buddhist,Very conservative,Something else
synth_0079,Male,Black,Hindu,Moderate,Independent
synth_0080,Male,Black,Protestant,Conservative,Something else
synth_0081,Female,Asian,Roman Catholic,Moderate,Independent
synth_0082,Female,Other,Muslim,Very conservative,Republican
synth_0083,Female,Black,Agnostic,Moderate,Republican
synth_0084,Male,Other,Buddhist,Moderate,Independent
synth_0085,Female,Other,Atheist,Very conservative,Something else
synth_0086,Male,Asian,Protestant,Liberal,Republican
synth_0087,Male,Asian,Buddhist,Very conservative,Independent
synth_0088,Female,White,Nothing in particular,Moderate,Independent
synth_0089,Female,Asian,Buddhist,Moderate,Democrat
synth_0090,Male,Hispanic,Other,Liberal,Democrat
synth_0091,Female,Hispanic,Atheist,Very conservative,Independent
synth_0092,Female,Black,Buddhist,Very liberal,Independent
synth_0093,Female,Hispanic,Hindu,Conservative,Something else
synth_0094,Male,White,Jewish,Very liberal,Independent
synth_0095,Male,Black,Other,Moderate,Democrat
synth_0096,Male,Black,Protestant,Very conservative,Democrat
synth_0097,Female,Other,Roman Catholic,Liberal,Something else
synth_0098,Male,Hispanic,Hindu,Liberal,Democrat
synth_0099,Male,White,Roman Catholic,Liberal,Democrat
synth_0100,Male,Other,Hindu,Very conservative,Democrat
synth_0101,Male,Hispanic,Mormon,Liberal,Independent
synth_0102,Female,Other,Nothing in particular,Very liberal,Something else
synth_0103,Female,Black,Nothing in particular,Liberal,Something else
synth_0104,Female,Black,Other,Moderate,Something else
synth_0105,Male,Asian,Hindu,Very conservative,Independent
synth_0106,Male,Asian,Muslim,Moderate,Republican
synth_0107,Male,Black,Orthodox,Liberal,Democrat
synth_0108,Male,White,Buddhist,Liberal,Independent
synth_0109,Female,Hispanic,Protestant,Conservative,Something else
synth_0110,Female,Other,Nothing in particular,Very conservative,Something else
synth_0111,Female,White,Muslim,Moderate,Something else
synth_0112,Female,Other,Nothing in particular,Very liberal,Democrat
synth_0113,Female,Black,Jewish,Liberal,Something else
synth_0114,Male,Hispanic,Muslim,Liberal,Democrat
synth_0115,Female,Black,Agnostic,Very liberal,Republican
synth_0116,Female,Other,Agnostic,Very conservative,Republican
synth_0117,Female,Black,Hindu,Conservative,Republican
synth_0118,Female,Hispanic,Muslim,Conservative,Something else
synth_0119,Female,Asian,Buddhist,Moderate,Something else
synth_0120,Female,White,Hindu,Very conservative,Republican
synth_0121,Female,Black,Other,Very conservative,Republican
synth_0122,Male,Black,Orthodox,Very conservative,Democrat
synth_0123,Male,Black,Hindu,Very conservative,Democrat
synth_0124,Female,Asian,Muslim,Conservative,Republican
synth_0125,Male,Asian,Roman Catholic,Very liberal,Republican
synth_0126,Female,Other,Other,Liberal,Something else
synth_0127,Male,White,Agnostic,Conservative,Republican
synth_0128,Female,Other,Roman Catholic,Very liberal,Republican
synth_0129,Female,Other,Buddhist,Moderate,Republican
synth_0130,Female,White,Buddhist,Liberal,Republican
synth_0131,Female,Asian,Other,Liberal,Democrat
synth_0132,Female,Black,Nothing in particular,Very liberal,Independent
synth_0133,Female,Hispanic,Buddhist,Very liberal,Independent
synth_0134,Female,Black,Roman Catholic,Moderate,Something else
synth_0135,Male,Hispanic,Agnostic,Very liberal,Something else
synth_0136,Female,White,Hindu,Moderate,Democrat
synth_0137,Female,Black,Muslim,Moderate,Independent
synth_0138,Female,Other,Nothing in particular,Moderate,Republican
synth_0139,Male,White,Orthodox,Liberal,Something else
synth_0140,Male,Hispanic,Other,Liberal,Something else
synth_0141,Male,White,Jewish,Conservative,Something else
synth_0142,Male,Asian,Other,Very liberal,Independent
synth_0143,Female,Other,Atheist,Moderate,Something else
synth_0144,Female,Asian,Nothing in particular,Liberal,Independent
synth_0145,Female,Asian,Orthodox,Very conservative,Democrat
synth_0146,Female,White,Nothing in particular,Very liberal,Democrat
synth_0147,Male,Black,Nothing in particular,Liberal,Independent
synth_0148,Female,White,Orthodox,Moderate,Democrat
synth_0149,Female,Black,Jewish,Very conservative,Democrat
synth_0150,Female,White,Protestant,Very liberal,Independent
synth_0151,Male,Hispanic,Roman Catholic,Very conservative,Independent
synth_0152,Female,Hispanic,Hindu,Moderate,Democrat
synth_0153,Male,Asian,Hindu,Very conservative,Republican
synth_0154,Female,Hispanic,Roman Catholic,Very liberal,Republican
synth_0155,Male,Black,Agnostic,Moderate,Republican
synth_0156,Male,White,Atheist,Liberal,Democrat
synth_0157,Female,Hispanic,Hindu,Moderate,Something else
synth_0158,Female,Other,Agnostic,Very conservative,Republican
synth_0159,Male,Black,Jewish,Very conservative,Democrat
synth_0160,Male,Black,Atheist,Very conservative,Democrat
synth_0161,Male,Hispanic,Hindu,Very liberal,Something else
synth_0162,Female,White,Orthodox,Moderate,Independent
synth_0163,Female,White,Other,Conservative,Independent
synth_0164,Male,Hispanic,Roman Catholic,Very liberal,Democrat
synth_0165,Male,Asian,Mormon,Very conservative,Republican
synth_0166,Male,Asian,Agnostic,Very liberal,Independent
synth_0167,Female,White,Hindu,Moderate,Something else
synth_0168,Female,Other,Atheist,Liberal,Something else
synth_0169,Male,Other,Protestant,Liberal,Independent
synth_0170,Female,White,Roman Catholic,Conservative,Republican
synth_0171,Female,Other,Protestant,Conservative,Something else
synth_0172,Female,Asian,Mormon,Very liberal,Something else
synth_0173,Female,White,Hindu,Moderate,Something else
synth_0174,Female,Asian,Other,Very conservative,Democrat
synth_0175,Female,Hispanic,Nothing in particular,Liberal,Independent
synth_0176,Female,Other,Protestant,Liberal,Republican
synth_0177,Female,Asian,Muslim,Very conservative,Something else
synth_0178,Male,Other,Hindu,Liberal,Republican
synth_0179,Male,Other,Muslim,Very liberal,Something else
synth_0180,Female,White,Orthodox,Moderate,Democrat
synth_0181,Female,Hispanic,Nothing in particular,Liberal,Republican
synth_0182,Male,Other,Orthodox,Conservative,Independent
synth_0183,Male,Other,Buddhist,Very conservative,Democrat
synth_0184,Male,Hispanic,Roman Catholic,Conservative,Something else
synth_0185,Female,Other,Nothing in particular,Moderate,Something else
synth_0186,Female,Hispanic,Orthodox,Liberal,Democrat
synth_0187,Female,Black,Agnostic,Very liberal,Democrat
synth_0188,Male,Asian,Buddhist,Moderate,Independent
synth_0189,Male,Asian,Nothing in particular,Moderate,Something else
synth_0190,Male,Hispanic,Atheist,Liberal,Independent
synth_0191,Female,Other,Atheist,Liberal,Something else
synth_0192,Female,Black,Nothing in particular,Conservative,Something else
synth_0193,Male,Hispanic,Protestant,Moderate,Something else
synth_0194,Female,Hispanic,Other,Conservative,Something else
synth_0195,Male,Black,Atheist,Very liberal,Independent
synth_0196,Male,Hispanic,Roman Catholic,Very liberal,Something else
synth_0197,Male,Black,Buddhist,Conservative,Republican
synth_0198,Female,Asian,Muslim,Very liberal,Something else
synth_0199,Male,Asian,Other,Very liberal,Something else
synth_0200,Female,Hispanic,Atheist,Very conservative,Republican
synth_0201,Male,Asian,Orthodox,Very conservative,Something else
synth_0202,Male,White,Hindu,Conservative,Independent
synth_0203,Male,White,Muslim,Very conservative,Independent
synth_0204,Female,Asian,Buddhist,Conservative,Democrat
synth_0205,Female,Other,Other,Conservative,Democrat
synth_0206,Male,White,Agnostic,Liberal,Democrat
synth_0207,Female,Other,Mormon,Conservative,Something else
synth_0208,Female,Hispanic,Jewish,Very conservative,Something else
synth_0209,Female,Other,Mormon,Very conservative,Something else
synth_0210,Female,Other,Jewish,Liberal,Independent
synth_0211,Female,Asian,Orthodox,Liberal,Something else
synth_0212,Male,Black,Buddhist,Very liberal,Independent
synth_0213,Female,Asian,Protestant,Liberal,Independent
synth_0214,Male,Other,Other,Very conservative,Something else
synth_0215,Female,Black,Agnostic,Moderate,Democrat
synth_0216,Male,Other,Jewish,Conservative,Republican
synth_0217,Male,Asian,Hindu,Very conservative,Independent
synth_0218,Male,White,Jewish,Moderate,Something else
synth_0219,Male,Black,Mormon,Very liberal,Independent
synth_0220,Female,Black,Jewish,Liberal,Independent
synth_0221,Female,White,Hindu,Very conservative,Democrat
synth_0222,Male,Hispanic,Atheist,Moderate,Republican
synth_0223,Female,White,Jewish,Very liberal,Republican
synth_0224,Female,Asian,Other,Moderate,Something else
synth_0225,Female,White,Other,Conservative,Something else
synth_0226,Male,Other,Atheist,Moderate,Democrat
synth_0227,Male,Hispanic,Nothing in particular,Moderate,Something else
synth_0228,Male,Black,Protestant,Very conservative,Independent
synth_0229,Female,White,Roman Catholic,Conservative,Democrat
synth_0230,Female,Hispanic,Muslim,Very liberal,Something else
synth_0231,Male,Hispanic,Other,Very conservative,Something else
synth_0232,Female,Asian,Protestant,Moderate,Democrat
synth_0233,Female,Hispanic,Orthodox,Moderate,Republican
synth_0234,Female,Other,Other,Moderate,Republican
synth_0235,Female,Asian,Orthodox,Very conservative,Something else
synth_0236,Male,Black,Other,Very liberal,Republican
synth_0237,Male,Asian,Orthodox,Conservative,Democrat
synth_0238,Male,Other,Orthodox,Very liberal,Democrat
synth_0239,Male,Asian,Mormon,Very liberal,Republican
synth_0240,Female,Black,Mormon,Very liberal,Independent
synth_0241,Male,White,Other,Very conservative,Democrat
synth_0242,Male,Asian,Orthodox,Very liberal,Independent
synth_0243,Male,Black,Jewish,Very conservative,Democrat
synth_0244,Female,Other,Roman Catholic,Very conservative,Something else
synth_0245,Female,Asian,Atheist,Very liberal,Republican
synth_0246,Female,Other,Orthodox,Very liberal,Republican
synth_0247,Female,Hispanic,Other,Very conservative,Republican
synth_0248,Female,Hispanic,Buddhist,Very conservative,Something else
synth_0249,Female,White,Roman Catholic,Moderate,Democrat
synth_0250,Male,Black,Jewish,Very liberal,Independent
synth_0251,Female,Other,Atheist,Moderate,Something else
synth_0252,Female,White,Nothing in particular,Very conservative,Democrat
synth_0253,Female,Hispanic,Orthodox,Liberal,Independent
synth_0254,Female,Hispanic,Buddhist,Very conservative,Independent
synth_0255,Female,Asian,Other,Moderate,Independent
synth_0256,Male,Hispanic,Roman Catholic,Very conservative,Republican
synth_0257,Male,Hispanic,Roman Catholic,Moderate,Democrat
synth_0258,Male,Other,Atheist,Very liberal,Independent
synth_0259,Male,Hispanic,Muslim,Liberal,Republican
synth_0260,Female,Other,Jewish,Moderate,Republican
synth_0261,Male,Black,Other,Liberal,Democrat
synth_0262,Male,Asian,Atheist,Moderate,Republican
synth_0263,Female,Other,Orthodox,Liberal,Republican
synth_0264,Female,White,Mormon,Moderate,Independent
synth_0265,Female,Asian,Protestant,Conservative,Democrat
synth_0266,Female,White,Mormon,Very conservative,Republican
synth_0267,Male,Hispanic,Buddhist,Liberal,Independent
synth_0268,Male,Asian,Jewish,Moderate,Republican
synth_0269,Male,Black,Mormon,Very liberal,Republican
synth_0270,Male,Asian,Hindu,Liberal,Something else
synth_0271,Female,Hispanic,Jewish,Conservative,Republican
synth_0272,Female,Hispanic,Roman Catholic,Moderate,Something else
synth_0273,Female,White,Orthodox,Liberal,Republican
synth_0274,Male,Black,Jewish,Conservative,Democrat
synth_0275,Female,Asian,Muslim,Very conservative,Republican
synth_0276,Female,Hispanic,Mormon,Conservative,Something else
synth_0277,Male,Other,Atheist,Moderate,Republican
synth_0278,Female,White,Buddhist,Very conservative,Something else
synth_0279,Male,Asian,Agnostic,Liberal,Something else
synth_0280,Female,Asian,Roman Catholic,Liberal,Republican
synth_0281,Female,Black,Agnostic,Liberal,Independent
synth_0282,Male,Hispanic,Roman Catholic,Conservative,Something else
synth_0283,Female,Other,Roman Catholic,Liberal,Independent
synth_0284,Female,Black,Muslim,Conservative,Republican
synth_0285,Male,Other,Atheist,Conservative,Independent
synth_0286,Female,Black,Orthodox,Very conservative,Democrat
synth_0287,Female,Black,Mormon,Very liberal,Democrat
synth_0288,Male,Black,Other,Liberal,Something else
synth_0289,Female,Other,Other,Very liberal,Independent
synth_0290,Female,Black,Hindu,Very conservative,Something else
synth_0291,Female,Asian,Jewish,Very liberal,Republican
synth_0292,Female,Other,Roman Catholic,Moderate,Something else
synth_0293,Female,White,Protestant,Moderate,Independent
synth_0294,Male,White,Agnostic,Very liberal,Something else
synth_0295,Female,Other,Atheist,Very conservative,Something else
synth_0296,Male,Asian,Agnostic,Liberal,Democrat
synth_0297,Male,Hispanic,Roman Catholic,Moderate,Republican
synth_0298,Male,White,Orthodox,Liberal,Something else
synth_0299,Male,Asian,Muslim,Moderate,Something else
synth_0300,Female,Asian,Other,Very liberal,Republican
synth_0301,Female,White,Muslim,Very conservative,Something else
synth_0302,Female,Asian,Nothing in particular,Very liberal,Democrat
synth_0303,Female,White,Agnostic,Conservative,Independent
synth_0304,Female,Hispanic,Mormon,Very liberal,Republican
synth_0305,Female,Other,Buddhist,Moderate,Democrat
synth_0306,Male,Hispanic,Atheist,Moderate,Republican
synth_0307,Female,Asian,Mormon,Conservative,Independent
synth_0308,Female,Black,Orthodox,Conservative,Democrat
synth_0309,Male,Asian,Roman Catholic,Very liberal,Republican
synth_0310,Female,Other,Mormon,Very liberal,Something else
synth_0311,Male,Black,Mormon,Very liberal,Democrat
synth_0312,Female,White,Buddhist,Moderate,Democrat
synth_0313,Female,Other,Jewish,Liberal,Democrat
synth_0314,Male,Asian,Hindu,Conservative,Independent
synth_0315,Female,Hispanic,Jewish,Liberal,Something else
synth_0316,Male,Black,Agnostic,Conservative,Independent
synth_0317,Male,Hispanic,Muslim,Very liberal,Republican
synth_0318,Male,Asian,Roman Catholic,Conservative,Independent
synth_0319,Female,Other,Mormon,Liberal,Republican
synth_0320,Male,Hispanic,Muslim,Very conservative,Something else
synth_0321,Male,Hispanic,Atheist,Moderate,Democrat
synth_0322,Female,White,Muslim,Conservative,Republican
synth_0323,Female,White,Nothing in particular,Moderate,Democrat
synth_0324,Male,White,Jewish,Liberal,Democrat
synth_0325,Female,Hispanic,Agnostic,Very conservative,Republican
synth_0326,Male,Asian,Orthodox,Conservative,Something else
synth_0327,Male,Asian,Orthodox,Moderate,Republican
synth_0328,Male,Black,Buddhist,Very liberal,Something else
synth_0329,Male,White,Hindu,Very liberal,Republican
synth_0330,Male,Black,Jewish,Liberal,Republican
synth_0331,Female,Black,Agnostic,Liberal,Democrat
synth_0332,Male,Other,Muslim,Very conservative,Republican
